t_stamp,P1_STATE,LIT101.Pv,FIT101.Pv,MV101.Status,P101.Status,P102.Status,P2_STATE,FIT201.Pv,AIT201.Pv,AIT202.Pv,AIT203.Pv,MV201.Status,P201.Status,P202.Status,P203.Status,P204.Status,P205.Status,P206.Status,P207.Status,P208.Status,LS201.Alarm,LS202.Alarm,LSL203.Alarm,LSLL203.Alarm,P3_STATE,AIT301.Pv,AIT302.Pv,AIT303.Pv,LIT301.Pv,FIT301.Pv,DPIT301.Pv,MV301.Status,MV302.Status,MV303.Status,MV304.Status,P301.Status,P302.Status,PSH301.Alarm,DPSH301.Alarm,P4_STATE,LIT401.Pv,FIT401.Pv,AIT401.Pv,AIT402.Pv,P401.Status,P402.Status,P403.Status,P404.Status,UV401.Status,LS401.Alarm,P5_STATE,FIT501.Pv,FIT502.Pv,FIT503.Pv,FIT504.Pv,AIT501.Pv,AIT502.Pv,AIT503.Pv,AIT504.Pv,PIT501.Pv,PIT502.Pv,PIT503.Pv,P501.Status,P501.Speed,P502.Status,P502.Speed,MV501.Status,MV502.Status,MV503.Status,MV504.Status,PSH501.Alarm,PSL501.Alarm,P6_STATE,LIT601.Pv,LIT602.Pv,FIT601.Pv,FIT602.Pv,P601.Status,P602.Status,P603.Status,LSH601.Alarm,LSL601.Alarm,LSH602.Alarm,LSL602.Alarm,LSH603.Alarm,LSL603.Alarm
20-Feb-2026 09:05:00,1.0,639.9377440000001,0.0,1.0,1.0,1.0,2.0,0.0,65.2396851,9.461549,179.851318,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Inactive,Inactive,Inactive,Active,99.0,7.65023375,200.39695700000001,23.46501,812.6122,0.00025622136299999996,3.74863958,1.0,1.0,1.0,1.0,1.0,1.0,Bad Input,Bad Input,1.0,1006.39581,0.0,0.0,218.431168,1.0,1.0,1.0,1.0,1.0,Inactive,1.0,0.0026916174699999997,0.00153708213,0.00153634418,0.0,8.790247,307.8185,123.526016,11.4586,8.299154,0.0,6.05613947,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,Bad Input,Bad Input,2.0,476.54446399999995,549.089966,0.0,0.940793931,1.0,1.0,1.0,Inactive,Inactive,Active,Inactive,Inactive,Active
20-Feb-2026 09:05:01,1.0,640.3695,0.0,1.0,1.0,1.0,2.0,0.0,65.2396851,9.451936,179.851318,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Inactive,Inactive,Inactive,Active,99.0,7.65023375,200.39695700000001,23.46501,812.6122,0.00025622136299999996,3.74863958,1.0,1.0,1.0,1.0,1.0,1.0,Bad Input,Bad Input,1.0,1006.35736,0.000128049171,0.0,218.431168,1.0,1.0,1.0,1.0,1.0,Inactive,1.0,0.0026916174699999997,0.00153708213,0.00153634418,0.0,8.787042999999999,307.8185,123.526016,11.4586,8.299154,0.0,6.05613947,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,Bad Input,Bad Input,2.0,476.15997300000004,549.089966,0.0,0.940793931,1.0,1.0,1.0,Inactive,Inactive,Active,Inactive,Inactive,Active
20-Feb-2026 09:05:02,1.0,640.3695,0.0,1.0,1.0,1.0,2.0,0.0,65.2396851,9.451614999999999,179.851318,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Inactive,Inactive,Inactive,Active,99.0,7.65023375,200.39695700000001,23.46501,812.6122,0.00025622136299999996,3.74863958,1.0,1.0,1.0,1.0,1.0,1.0,Bad Input,Bad Input,1.0,1006.5880699999999,0.000128049171,0.0,218.431168,1.0,1.0,1.0,1.0,1.0,Inactive,1.0,0.0026916174699999997,0.00153708213,0.00153634418,0.0,8.783517999999999,307.7416,123.526016,11.4586,8.299154,0.0,6.05613947,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,Bad Input,Bad Input,2.0,476.15997300000004,549.089966,0.0,0.9584148000000001,1.0,1.0,1.0,Inactive,Inactive,Active,Inactive,Inactive,Active
20-Feb-2026 09:05:03,1.0,640.3695,0.0,1.0,1.0,1.0,2.0,0.0,65.2396851,9.451614999999999,179.851318,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Inactive,Inactive,Inactive,Active,99.0,7.65023375,200.39695700000001,23.46501,812.8525,0.00025622136299999996,3.74863958,1.0,1.0,1.0,1.0,1.0,1.0,Bad Input,Bad Input,1.0,1006.28046,0.000128049171,0.0,218.431168,1.0,1.0,1.0,1.0,1.0,Inactive,1.0,0.0026916174699999997,0.00153708213,0.00153634418,0.0,8.782236,307.5878,123.526016,11.4586,8.299154,0.0,6.05613947,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,Bad Input,Bad Input,2.0,476.15997300000004,549.089966,0.0,0.9665844440000001,1.0,1.0,1.0,Inactive,Inactive,Active,Inactive,Inactive,Active
20-Feb-2026 09:05:04,1.0,640.3695,0.0,1.0,1.0,1.0,2.0,0.0,65.2396851,9.451614999999999,179.851318,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Inactive,Inactive,Inactive,Active,99.0,7.65023375,200.34573400000002,23.46501,812.8525,0.00025622136299999996,3.74863958,1.0,1.0,1.0,1.0,1.0,1.0,Bad Input,Bad Input,1.0,1006.242,0.000128049171,0.0,218.431168,1.0,1.0,1.0,1.0,1.0,Inactive,1.0,0.0026916174699999997,0.00153708213,0.00153634418,0.0,8.77743,307.5878,123.526016,11.4586,8.299154,0.0,6.05613947,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,Bad Input,Bad Input,2.0,475.903625,549.089966,0.0,0.9689873,1.0,1.0,1.0,Inactive,Inactive,Active,Inactive,Inactive,Active
20-Feb-2026 09:05:05,1.0,640.3695,0.0,1.0,1.0,1.0,2.0,0.0,65.2396851,9.451614999999999,179.851318,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Inactive,Inactive,Inactive,Active,99.0,7.65023375,200.34573400000002,23.46501,812.8525,0.00025622136299999996,3.74863958,1.0,1.0,1.0,1.0,1.0,1.0,Bad Input,Bad Input,1.0,1006.242,0.000128049171,0.0,218.431168,1.0,1.0,1.0,1.0,1.0,Inactive,1.0,0.0026916174699999997,0.00153708213,0.00153634418,0.0,8.775507000000001,307.5878,123.526016,11.4586,8.299154,0.0,6.05613947,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,Bad Input,Bad Input,2.0,475.903625,549.089966,0.0,0.9689873,1.0,1.0,1.0,Inactive,Inactive,Active,Inactive,Inactive,Active
20-Feb-2026 09:05:06,1.0,640.3695,0.0,1.0,1.0,1.0,2.0,0.0,65.2396851,9.4657135,179.851318,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Inactive,Inactive,Inactive,Active,99.0,7.65023375,200.34573400000002,23.46501,812.8525,0.00025622136299999996,3.74863958,1.0,1.0,1.0,1.0,1.0,1.0,Bad Input,Bad Input,1.0,1006.43427,0.000128049171,0.0,218.17482,1.0,1.0,1.0,1.0,1.0,Inactive,1.0,0.0026916174699999997,0.00153708213,0.00153634418,0.0,8.771982000000001,307.5878,123.526016,11.4586,8.267111,0.0,6.05613947,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,Bad Input,Bad Input,2.0,475.903625,549.3463,0.0,0.9587351679999999,1.0,1.0,1.0,Inactive,Inactive,Active,Inactive,Inactive,Active
20-Feb-2026 09:05:07,1.0,640.3695,0.0,1.0,1.0,1.0,2.0,0.0,65.2396851,9.476608,179.851318,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Inactive,Inactive,Inactive,Active,99.0,7.65023375,200.34573400000002,23.46501,812.8525,0.00025622136299999996,3.74863958,1.0,1.0,1.0,1.0,1.0,1.0,Bad Input,Bad Input,1.0,1006.43427,0.000128049171,0.0,218.17482,1.0,1.0,1.0,1.0,1.0,Inactive,1.0,0.0026916174699999997,0.00153708213,0.00153634418,0.0,8.771982000000001,307.5878,123.526016,11.4586,8.267111,0.0,6.05613947,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,Bad Input,Bad Input,2.0,475.935669,549.442444,0.0,0.9624195,1.0,1.0,1.0,Inactive,Inactive,Active,Inactive,Inactive,Active
20-Feb-2026 09:05:08,1.0,640.3695,0.0,1.0,1.0,1.0,2.0,0.0,65.2396851,9.493271,179.851318,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Inactive,Inactive,Inactive,Active,99.0,7.65023375,200.34573400000002,23.46501,812.8525,0.00025622136299999996,3.74863958,1.0,1.0,1.0,1.0,1.0,1.0,Bad Input,Bad Input,1.0,1006.5880699999999,0.000128049171,0.0,218.17482,1.0,1.0,1.0,1.0,1.0,Inactive,1.0,0.0026916174699999997,0.00153708213,0.00153634418,0.0,8.771982000000001,307.613434,123.526016,11.4586,8.267111,0.0,6.05613947,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,Bad Input,Bad Input,2.0,477.025116,549.442444,0.0,0.955851734,1.0,1.0,1.0,Inactive,Inactive,Active,Inactive,Inactive,Active
20-Feb-2026 09:05:09,1.0,640.3695,0.0,1.0,1.0,1.0,2.0,0.0,65.2396851,9.515701,179.851318,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Inactive,Inactive,Inactive,Active,99.0,7.65023375,200.34573400000002,23.46501,812.8525,0.00025622136299999996,3.74863958,1.0,1.0,1.0,1.0,1.0,1.0,Bad Input,Bad Input,1.0,1006.28046,0.000128049171,0.0,218.17482,1.0,1.0,1.0,1.0,1.0,Inactive,1.0,0.0026916174699999997,0.00153708213,0.00153634418,0.0,8.770380000000001,307.613434,123.526016,11.4586,8.267111,0.0,6.05613947,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,Bad Input,Bad Input,2.0,477.0892,549.442444,0.0,0.9582546000000001,1.0,1.0,1.0,Inactive,Inactive,Active,Inactive,Inactive,Active
